RU	EN	LEN	ROW	TIME
	I've been meaning to tell you,	30	596	00:40:46a
	the guy who gaffs this,	23	597	00:40:46b
	he's best friends with Randy,	29	598	00:40:46c
	the gaffer from	15	599	00:40:46d
	The Green Hornet, so there really ain't no point.	49	600	00:41:05a
	Hey, Randy.	11	601	00:41:09a
	Cliff.	06	602	00:41:11a
	So you're still with Rick, huh?	31	603	00:41:13a
	Still here.	11	604	00:41:15a
	He in there?	12	605	00:41:16a
	Yeah.	05	606	00:41:16b
	Just knock.	11	607	00:41:23a
	Look, just put him in the wardrobe, all right?	46	608	00:41:26a
	What's it gonna hurt?	21	609	00:41:27a
	Then if you need him, you got him.	34	610	00:41:29a
	But then I gotta have a conversation with that wardrobe assistant,	66	611	00:41:32a
	and, man, she's a fucking bitch.	32	612	00:41:32b
	I just don't...	15	613	00:41:32c
	Please, I...	12	614	00:41:35a
	Look, Randy, I'm asking you to help me out, man.	48	615	00:41:38a
	If the answer's no,	19	616	00:41:42a
	the answer's no,	16	617	00:41:42b
	not no with excuses.	20	618	00:41:42c
	Hey, man.	09	619	00:41:45a
	This ain't a fucking Andy McLaglen picture, you know?	53	620	00:41:48a
	I can't afford to hire a bunch of guys to smoke cigarettes and sit around talking to each other all day on the chance that I might use them.	140	621	00:41:55a
	I got a four-man team here, Rick.	33	622	00:41:56a
	If I need more than that, I gotta get it approved.	50	623	00:41:59a
	And, you know, I gotta look after my dudes.	43	624	00:42:02a
	Hey, and if your dudes were a better match for me,	50	625	00:42:09a
	I'd say, Okay,	14	626	00:42:09b
	you got me, but-but that's not the case,	40	627	00:42:09c
	and you know it.	16	628	00:42:09d
	He's a great match for me.	26	629	00:42:09e
	Yeah, no...	11	630	00:42:11a
	Hey, you could do anything you want to him.	43	631	00:42:13a
	Throw him off a building, right?	32	632	00:42:13b
	Light him on fire.	18	633	00:42:16a
	Hit him with a fucking Lincoln, right?	38	634	00:42:18a
	Get creative.	13	635	00:42:18b
	Do whatever you want.	21	636	00:42:20a
	He's just happy for the opportunity.	36	637	00:42:22a
	Rick.	05	638	00:42:22b
	Yeah?	05	639	00:42:26a
	I don't dig him.	16	640	00:42:30a
	And I don't dig the vibe he brings on a set.	44	641	00:42:33a
	What, is there some old beef between the two of you?	52	642	00:42:36a
	Come on, man.	13	643	00:42:36b
	What?	05	644	00:42:36c
	The dude killed his fucking wife.	33	645	00:42:42a
	Come on, man.	13	646	00:42:42b
	You don't believe that old shit, do you?	40	647	00:42:46a
	Yes, Rick, I do.	16	648	00:42:47a
	And I work with my wife, and she believes it.	45	649	00:42:51a
	She doesn't want his creepy ass around.	39	650	00:42:55a
	You know, this is probably the shittiest weather ever.	54	651	00:42:59a
	The shittiest weather on the shittiest boat with the shittiest person.	70	652	00:43:06a
	Natalie, my sister, said, He's a loser.	39	653	00:43:06b
	He's a loser.	13	654	00:43:09a
	They all said it,	17	655	00:43:13a
	He's a fucking loser,	21	656	00:43:13b
	and I didn't believe them.	26	657	00:43:13c
	So I guess I'm the fucking idiot.	33	658	00:43:16a
	And now you're not gonna talk to me?	36	659	00:43:18a
	What, you don't feel like fighting?	35	660	00:43:20a
	Well, I feel like fucking fighting because I've been up here by myself for four hours on this fucking shithole of a boat.	121	661	00:43:28a
	Yeah.	05	662	00:43:31a
	H-he's a goddamn war hero.	26	663	00:43:31b
	Fuck.	05	664	00:43:37a
	Yeah, appreciate it.	20	665	00:43:42a
	Okay, you fucking horse's ass.	30	666	00:43:42b
	Let's get you over to wardrobe.	31	667	00:43:50a
	Now, I'll put you in wardrobe,	30	668	00:43:55a
	but you don't stunt,	20	669	00:43:55b
	I don't pay you.	16	670	00:43:55c
	Appreciate the opportunity, Randy.	34	671	00:43:55d
	I won't let you down.	21	672	00:43:58a
	You know my wife Janet, don't you?	34	673	00:44:01a
	Yeah.	05	674	00:44:02a
	Steer clear of her.	19	675	00:44:05a
	Now, I admire Cassius Clay, I do.	33	676	00:44:08a
	What I admire is,	17	677	00:44:13a
	in his sport, there's an element of true combat.	48	678	00:44:13b
	When Cassius Clay meets Sonny Liston in the ring,	49	679	00:44:18a
	that's not two athletes posturing.	34	680	00:44:18b
	That's combat.	14	681	00:44:20a
	Two men trying to kill each other right now.	44	682	00:44:23a
	If you don't beat him...	24	683	00:44:25a
	he kills you.	13	684	00:44:27a
	That's beyond athletics.	24	685	00:44:29a
	That's beyond Wide World of Sports, you know?	45	686	00:44:33a
	That's two warriors engaged in combat.	38	687	00:44:35a
	That's what I admire.	21	688	00:44:37a
	In martial arts tournaments,	28	689	00:44:41a
	they won't let you fight like that.	35	690	00:44:41b
	It's very frustrating.	22	691	00:44:43a
	You stand in front of a guy,	28	692	00:44:44a
	and you just wanna let him have it.	35	693	00:44:44b
	Ha.	03	694	00:44:47a
	But you can't.	14	695	00:44:49a
	So you gotta do this playacting,	32	696	00:44:53a
	Cassius Clay.	13	697	00:44:53b
	Sonny Liston.	13	698	00:44:53c
	Joe Louis.	10	699	00:44:56a
	The colored boxer,	18	700	00:45:00a
	not that white kickboxing asshole.	34	701	00:45:00b
	They do what they need to do to win.	36	702	00:45:03a
	They unleash as much punishment as they have to to defeat the other guy.	72	703	00:45:09a
	But in martial arts tournaments,	32	704	00:45:13a
	I do to win what they do to win.	32	705	00:45:13b
	I unleash all my power.	23	706	00:45:17a
	I kill people.	14	707	00:45:18a
	If you fought Cassius Clay, who would win?	42	708	00:45:21a
	Well, that would never happen.	30	709	00:45:23a
	But if you did, what do you think would happen?	47	710	00:45:27a
	I'd make him a cripple.	23	711	00:45:32a
	Hey, you.	09	712	00:45:32b
	What's your name?	17	713	00:45:35a
	Me?	03	714	00:45:35b
	Yeah, you.	10	715	00:45:38a
	My name's Cliff.	16	716	00:45:40a
	I'm Rick Dalton's stunt double.	31	717	00:45:42a
	Stuntman?	09	718	00:45:42b
	Yeah.	05	719	00:45:45a
	You know, you're kind of pretty for a stuntman.	47	720	00:45:48a
	That's what they tell me.	25	721	00:45:50a
	So did I say something funny, stuntman?	39	722	00:45:54a
	Yeah, you kind of did.	22	723	00:45:54b
	What's so funny?	16	724	00:45:57a
	Look, man, I don't want any trouble.	36	725	00:45:59a
	I'm just here to do a job.	26	726	00:46:00a
	But you're laughing at what I'm saying.	39	727	00:46:02a
	But I'm not saying anything funny.	34	728	00:46:04a
	So, what do you think is so funny?	34	729	00:46:08a
	What I think is...	18	730	00:46:12a
	you're a little man with a big mouth and a big chip,	52	731	00:46:22a
	and I think you should be embarrassed to suggest you'd be anything more than a stain on the seat of Cassius Clay's trunks.	122	732	00:46:22b
	Brother, you're the one with the big mouth.	43	733	00:46:25a
	And I would really enjoy closing it,	36	734	00:46:30a
	especially in front of all my friends.	38	735	00:46:30b
	But my hands are registered as lethal weapons.	46	736	00:46:33a
	That means, we get into a fight,	32	737	00:46:39a
	I accidentally kill you,	24	738	00:46:39b
	Anybody accidentally kills anybody in a fight,	46	739	00:46:43a
	they go to jail.	16	740	00:46:43b
	It's called manslaughter.	25	741	00:46:44a
	And I think all that lethal weapon horseshit is just an excuse so you dancers never have to get in a real fight.	112	742	00:46:51a
	Okay.	05	743	00:46:54a
	How about a friendly contest?	29	744	00:46:57a
	No punching in the face.	24	745	00:46:59a
	Two out of three.	17	746	00:47:00a
	Who puts who on the ground first?	33	747	00:47:02a
	Nobody tries to hurt nobody,	28	748	00:47:11a
	just who ends up on their butt?	31	749	00:47:11b
	That's a great idea, Kato.	26	750	00:47:25a
	You know, Bruce, that guy's kind of famous.	43	751	00:47:27a
	That guy?	09	752	00:47:29a
	For what?	09	753	00:47:30a
	Killed his wife and got away with it.	37	754	00:47:33a
	That guy?	09	755	00:47:34a
	Not bad, Kato.	14	756	00:48:03a
	Try that again.	15	757	00:48:46a
	Whoa.	05	758	00:48:48a
	What the fuck is going on here?	31	759	00:48:50a
	Hey, jackass, this is our series lead.	38	760	00:48:53a
	What the fuck are you thinking?	31	761	00:48:55a
	You're right, Janet.	20	762	00:48:55b
	I'm sorry about that.	21	763	00:48:58a
	Don't fucking Janet me, you prick.	34	764	00:49:00a
	Hey.	04	765	00:49:00b
	What's up, babe?	16	766	00:49:03a
	What's up, Randy,	17	767	00:49:09a
	is that your loser asshole,	27	768	00:49:09b
	wife-killing buddy boy here was beating the shit out of Bruce.	62	769	00:49:09c
	What?	05	770	00:49:11a
	Hey, Randy.	11	771	00:49:11b
	Cliff.	06	772	00:49:13a
	What the fuck, man?	19	773	00:49:15a
	Let me just say,	16	774	00:49:18a
	nobody beat the shit out of Bruce.	34	775	00:49:18b
	It was a friendly contest.	26	776	00:49:18c
	He barely touched me.	21	777	00:49:21a
	I think that dent in the car says something different.	54	778	00:49:25a
	My God.	07	779	00:49:27a
	What the fuck did you do to my car?.	36	780	00:49:30a
	What the fuck did you do to her car?	36	781	00:49:32a
	I threw this little prick into it,	34	782	00:49:36a
	but I did not know it was her car.	34	783	00:49:36b
	Get the wardrobe off,	21	784	00:49:41a
	get your shit,	14	785	00:49:41b
	and get fucked.	15	786	00:49:41c
	Janet.	06	787	00:49:41d
	What?	05	788	00:49:42a
	I will handle this.	19	789	00:49:43a
	Then fucking handle it, Randy.	30	790	00:49:46a
	Cliff...	08	791	00:49:49a
	get the wardrobe off,	21	792	00:49:57a
	get your shit,	14	793	00:49:57b
	and get off the lot.	20	794	00:49:57c
	Fair enough.	12	795	00:50:32a
	What's the matter?	18	796	00:50:35a
	Are you afraid I'll tell Jim Morrison you were dancing to Paul Revere and the Raiders?	86	797	00:50:41a
	Are they not cool enough for you?	33	798	00:50:53a
	Who's this shaggy asshole?	26	799	00:50:57a
	Hello?	06	800	00:50:57b
	Can I help you?	15	801	00:50:58a
	Yeah.	05	802	00:50:58b
	Hey, man.	09	803	00:50:58c
	I'm looking for Terry.	22	804	00:51:01a
	I'm a friend of Terry's and Dennis Wilson's.	44	805	00:51:04a
	Well, Terry and Candy don't live here anymore.	46	806	00:51:07a
	This is the Polanski residence now.	35	807	00:51:08a
	Really?	07	808	00:51:08b
	He moved?	09	809	00:51:11a
	Dang.	05	810	00:51:14a
	You know...?	12	811	00:51:14b
	You know where?	15	812	00:51:15a
	I'm not sure, but the owner of the property,	44	813	00:51:18a
	He's in the guest house.	24	814	00:51:21a
	Who is it, Jay?	15	815	00:51:22a
	It's okay, honey.	17	816	00:51:22b
	It's a friend of Terry's.	25	817	00:51:26a
	Yeah, just take the back path.	30	818	00:51:28a
	Thank you kindly.	17	819	00:51:32a
	Ma'am.	06	820	00:51:49a
	All right, that's an hour.	26	821	00:51:49b
	Hey, Rick.	10	822	00:51:51a
	I know they just broke for lunch,	33	823	00:51:56a
	but you need to wait at least an hour before you can eat.	57	824	00:51:56b
	Give that glue a chance to dry.	31	825	00:51:56c
	No worries, honey.	18	826	00:51:59a
	I got my book.	14	827	00:51:59b
	Say, say, where's the bad-guy saloon?	37	828	00:52:03a
	You just go straight through the Western town,	46	829	00:52:08a
	take a right and a left,	24	830	00:52:08b
	and you see it right there.	27	831	00:52:08c
	Thanks, honey.	14	832	00:52:12a
	Can we move to number two?	26	833	00:52:14a
	How is his bounce?	18	834	00:52:16a
	Can I get a bounce there?	25	835	00:52:17a
	Just grab the crescent wrench, come right back.	47	836	00:52:20a
	Just make it a quick one.	25	837	00:52:22a
	Tim.	04	838	00:52:22b
	Looks great.	12	839	00:52:22c
	Right there.	12	840	00:53:11a
	Hello.	06	841	00:53:14a
	Would...	08	842	00:53:23a
	Would it bother you if I sat next to you and read my book too?	62	843	00:53:29a
	I don't know.	13	844	00:53:31a
	Would you bother me?	20	845	00:53:34a
	I'll try not to.	16	846	00:53:39a
	Sit.	04	847	00:54:25a
	Ah.	03	848	00:54:27a
	Sorry.	06	849	00:54:27b
	Sorry about that.	17	850	00:54:27c
	Ahem.	05	851	00:54:36a
	You don't eat lunch?	20	852	00:54:39a
	I've got a scene after lunch.	29	853	00:54:41a
	Yeah?	05	854	00:54:44a
	Eating lunch before I do a scene makes me sluggish.	51	855	00:54:47a
	I believe it's the job of an actor...	37	856	00:54:49a
	And I say actor,	16	857	00:54:54a
	not actress, because the word actress is nonsensical.	53	858	00:54:54b
	It's the actor's job to avoid impediments to their performance.	63	859	00:54:59a
	It's the actor's job to strive for 100 percent effectiveness.	61	860	00:55:03a
	Naturally, we never succeed,	28	861	00:55:08a
	but it's the pursuit...	23	862	00:55:08b
	that's meaningful.	18	863	00:55:11a
	Who are you?	12	864	00:55:11b
	You can call me Marabella.	26	865	00:55:14a
	Marabella what?	15	866	00:55:17a
	Marabella Lancer.	17	867	00:55:19a
	No, no, come on, come on.	25	868	00:55:19b
	What's your real name?	22	869	00:55:24a
	When we're on set,	18	870	00:55:28a
	I'd prefer to only be referred to by my character's name.	57	871	00:55:28b
	It helps me invest in the reality of the story.	47	872	00:55:31a
	I've tried it both ways,	24	873	00:55:36a
	and I'm always just a tiny bit better when I don't break character.	67	874	00:55:36b
	And if I can be a tiny bit better, I want to be.	48	875	00:55:43a
	You're the bad guy.	19	876	00:55:43b
	Caleb DeCoteau.	15	877	00:55:49a
	I thought it was pronounced Caleb Dakota.	41	878	00:55:53a
	I'm pretty sure it's DeCoteau.	30	879	00:55:58a
	DeCoteau.	09	880	00:55:58b
	Mm.	03	881	00:56:02a
	DeCoteau.	09	882	00:56:02b
	Hmm.	04	883	00:56:22a
	What are you reading?	21	884	00:56:25a
	It's a biography on Walt Disney.	32	885	00:56:28a
	It's fascinating.	17	886	00:56:29a
	He's a genius, you know.	24	887	00:56:31a
	I mean, a once-in-every-50 or-100-years kind of genius.	55	888	00:56:35a
	What are you, 12?	17	889	00:56:38a
	I'm 8.	06	890	00:56:40a
	What are you reading?	21	891	00:56:43a
	Just a Western.	15	892	00:56:44a
	What does that mean?	20	893	00:56:44b
	Is it good?	11	894	00:56:48a
	Pretty good.	12	895	00:56:48b
	What's the story?	17	896	00:56:52a
	I haven't finished it yet.	26	897	00:56:54a
	I didn't ask for the whole story.	33	898	00:56:57a
	What's the idea of the story?	29	899	00:57:00a
	ahem, it's about this guy who's a bronco buster.	48	900	00:57:06a
	It's the story of his life.	27	901	00:57:09a
	Guy's name is Tom Breezy,	25	902	00:57:14a
	but everyone always calls him Easy Breezy.	42	903	00:57:14b
	Now, when Easy Breezy was in his 20s and-and-and young and good-looking,	72	904	00:57:20a
	He could break any horse that you could throw at him.	53	905	00:57:24a
	Back then, he just had a way.	29	906	00:57:27a
	Now he's into his,	18	907	00:57:33a
	late 30s and he takes a bad fall,	33	908	00:57:33b
	and it messes up his hip.	25	909	00:57:33c
	He's not...	11	910	00:57:33d
	He's not crippled or anything like that, but...	47	911	00:57:38a
	But he's got spine problems he never had before,	48	912	00:57:44a
	and he spends, uh...	20	913	00:57:44b
	more of his days in pain than he ever did before.	49	914	00:57:48a
	Jeepers, this sounds like a good novel.	39	915	00:57:52a
	Yeah, it's not bad.	19	916	00:57:55a
	Where are you in it?	20	917	00:57:56a
	About midway.	13	918	00:58:00a
	What's happening to Easy Breezy now?	36	919	00:58:03a
	He's, um...	11	920	00:58:07a
	He's not the best anymore.	26	921	00:58:10a
	In fact, far from it.	21	922	00:58:10b
	he's coming to terms with what it's like to be slightly more...	63	923	00:58:30a
	Slightly more useless each day.	31	924	00:58:50a
	I-it's okay, Caleb.	19	925	00:58:52a
	It's okay.	10	926	00:58:53a
	It sounds like a really sad book.	33	927	00:58:56a
	Poor Easy Breezy.	17	928	00:58:58a
	I'm practically crying,	23	929	00:59:03a
	and I haven't even read it.	27	930	00:59:03b
	About 15 years, you'll be living it.	36	931	00:59:05a
	What?	05	932	00:59:09a
	Nothing, pumpkin puss.	22	933	00:59:09b
	I'm just...	11	934	00:59:13a
	I'm just teasing you.	21	935	00:59:16a
	You know something?	19	936	00:59:16b
	You might be right about this book.	35	937	00:59:22a
	I think it hits harder than I gave it credit for.	49	938	00:59:27a
	I don't like names like pumpkin puss,	37	939	01:00:30a
	but since you're upset,	23	940	01:00:30b
	we'll talk about that some other time.	38	941	01:00:30c
	I'm only going as far as Westwood Village.	42	942	01:00:33a
	Hey, beggars can't be choosers.	31	943	01:00:34a
	Come on in.	11	944	01:00:34b
	Thanks.	07	945	01:00:56a
	Thank you so much.	18	946	01:00:56b
	My pleasure.	12	947	01:00:59a
	Good luck on your adventure.	28	948	01:00:59b
	Thank you.	10	949	01:01:01a
	Have a good time in Big Sur.	28	950	01:01:01b
	Thank you so much.	18	951	01:01:03a
	Take care.	10	952	01:01:03b
	You too.	08	953	01:02:11a
	Hey.	04	954	01:02:11b
	Hello.	06	955	01:02:14a
	How can I help you, young lady?	31	956	01:02:16a
	Oh.	03	957	01:02:19a
	I'm here to pick up a first edition of Thomas Hardy's Tess of the d'Urbervilles I ordered.	90	958	01:02:23a
	It's under Polanski.	20	959	01:02:24a
	Yeah, you're talking books there, kid.	38	960	01:02:26a
	I know.	07	961	01:02:26b
	Isn't it wonderful?	19	962	01:02:28a
	Yeah.	05	963	01:02:28b
	Man.	04	964	01:02:28c
	I just read it.	15	965	01:02:30a
	I'm getting it as a gift for my husband.	40	966	01:02:30b
	Mm.	03	967	01:02:35a
	Rick Dalton?	12	968	01:02:35b
	You bet.	08	969	01:02:38a
	Jim Stacy.	10	970	01:02:38b
	This is my show.	16	971	01:02:38c
	Welcome aboard.	15	972	01:02:40a
	We're real glad to have a pro like you playing the heavy on the pilot.	70	973	01:02:44a
	And I gotta tell you,	21	974	01:02:46a
	I came damn close to being in	29	975	01:02:46b
	The Fourteen Fists of McCluskey.	32	976	01:02:49a
	No kidding.	11	977	01:02:49b
	Yeah.	05	978	01:02:50a
	Let me tell you, I...	21	979	01:02:52a
	I just got my part-part by sheer luck.	38	980	01:02:54a
	Up until two weeks before shooting,	35	981	01:02:58a
	Fabian was in the part.	23	982	01:02:58b
	Then-then he breaks his shoulder doing a Virginian.	51	983	01:03:01a
	That's how I got it, so...	26	984	01:03:02a
	Ah.	03	985	01:03:05a
	Hey, Rick, I gotta ask you something I heard about.	51	986	01:03:08a
	Was it true you almost got the McQueen part in	46	987	01:03:10a
	The Great Escape?	17	988	01:03:13a
	Hilts, isn't it?	16	989	01:03:13b
	Captain Hilts, actually.	24	990	01:03:16a
	Seventeen escape attempts.	26	991	01:03:16b
	Eighteen.	09	992	01:03:18a
	Never had an audition.	22	993	01:03:18b
	Never had a meeting.	20	994	01:03:21a
	Never met John Sturges.	23	995	01:03:22a
	So, no, I don't think you could say I...	40	996	01:03:25a
	I almost got the part, but...	29	997	01:03:27a
	Tunnel man, engineer.	21	998	01:03:27b
	Flier.	06	999	01:03:30a
	I suppose what's called in the American Army,	45	1000	01:03:34a
	a hotshot pilot.	16	1001	01:03:34b
	But the story goes,	19	1002	01:03:45a
	for a brief moment,	19	1003	01:03:45b
	McQueen almost passed on the movie,	35	1004	01:03:45c
	and during that brief moment,	29	1005	01:03:45d
	I, apparently,	14	1006	01:03:45e
	was on a list of four.	22	1007	01:03:45f
	You have other plans?	21	1008	01:03:46a
	I haven't seen Berlin yet from the ground or from the air,	58	1009	01:03:52a
	and I plan on doing both before the war's over.	47	1010	01:03:52b
	You and who?	12	1011	01:03:53a
	Me and...	09	1012	01:03:53b
	Me and three Georges.	21	1013	01:03:53c
	Which three Georges?	20	1014	01:03:56a
	Peppard, Maharis and Chakiris.	30	1015	01:03:58a
	Man.	04	1016	01:03:58b
	Yeah.	05	1017	01:04:00a
	That's gotta hurt.	18	1018	01:04:01a
	Yeah, I didn't get it,	22	1019	01:04:09a
	McQueen did it,	15	1020	01:04:09b
	and, frankly, I never had a chance.	35	1021	01:04:09c
	Ten days isolation, Hilts.	26	1022	01:04:11a
	Captain Hilts.	14	1023	01:04:13a
	Twenty days.	12	1024	01:04:14a
	Right.	06	1025	01:04:17a
	You'll still be here when I get out?	36	1026	01:04:21a
	Cooler.	07	1027	01:05:18a
	One, please.	12	1028	01:05:18b
	Seventy-five cents.	19	1029	01:05:23a
	What if I'm in the movie?	25	1030	01:05:26a
	What do you mean?	17	1031	01:05:28a
	I mean, I'm in the movie.	25	1032	01:05:30a
	I'm Sharon Tate.	16	1033	01:05:32a
	You're in this?	15	1034	01:05:32b
	Mm-hm.	06	1035	01:05:35a
	I play Miss Carlson, the klutz.	31	1036	01:05:38a
	That's me.	10	1037	01:05:41a
	But that's the girl from Valley of the Dolls.	45	1038	01:05:45a
	Well, that's me,	16	1039	01:05:49a
	the girl from Valley of the Dolls.	34	1040	01:05:49b
	Really?	07	1041	01:05:51a
	Hey, Rubin.	11	1042	01:05:55a
	Come out here.	14	1043	01:06:00a
	This is the girl from Valley of the Dolls.	42	1044	01:06:03a
	Patty Duke?	11	1045	01:06:03b
	No, the other one.	18	1046	01:06:06a
	The girl from Peyton Place?	27	1047	01:06:06b
	No, the other one.	18	1048	01:06:08a
	The one who ends up doing dirty movies.	39	1049	01:06:10a
	Oh.	03	1050	01:06:10b
	She's in this movie.	20	1051	01:06:13a
	Oh.	03	1052	01:06:13b
	Sharon Tate.	12	1053	01:06:15a
	Well, welcome to the Bruin, Miss Tate.	38	1054	01:06:19a
	Thank you for coming to our theater.	36	1055	01:06:20a
	Would you like to come in and see the show?	43	1056	01:06:22a
	Could I?	08	1057	01:06:23a
	By all means.	13	1058	01:06:26a
	Thank you.	10	1059	01:06:29a
	Hey, can I get a picture?	25	1060	01:06:31a
	Sure.	05	1061	01:06:32a
	Okay.	05	1062	01:06:37a
	You know, why don't you stand over by the poster so people will know who you are.	81	1063	01:06:41a
	Okay.	05	1064	01:06:41b
	Could you?	10	1065	01:06:56a
	Would you like some refreshments?	33	1066	01:06:58a
	I'm fine.	09	1067	01:06:58b
	Thank you.	10	1068	01:06:58c
	Enjoy the show.	15	1069	01:07:37a
	Can I ask you a personal question?	34	1070	01:07:39a
	I wish you would.	17	1071	01:07:39b
	How did a nice boy like you get involved with a group like the Heads?	69	1072	01:07:44a
	I turned to them after I was rejected by the Daughters of the American Revolution.	82	1073	01:08:11a
	Very pleasant hotel here.	25	1074	01:08:14a
	Mr. Helm?	09	1075	01:08:14b
	Yes?	04	1076	01:08:16a
	Oh.	03	1077	01:08:21a
	I'm Freya.	10	1078	01:08:22a
	Welcome to Denmark, Mr. Helm.	29	1079	01:08:25a
	These are for you.	18	1080	01:08:25b
	Street maps, places of interest.	32	1081	01:08:29a
	This is for you too.	20	1082	01:08:32a
	What year was that?	19	1083	01:08:32b
	1949.	05	1084	01:08:34a
	That's a very good year.	24	1085	01:08:35a
	I'm here to help any way I can.	31	1086	01:08:37a
	Very nice of you.	17	1087	01:08:38a
	Is there anything you'd like me to do?	38	1088	01:08:41a
	Yes, a couple things.	21	1089	01:08:41b
	Yes, sir.	09	1090	01:08:43a
	Would you mind getting off my camera case, please?	50	1091	01:08:46a
	I'm sorry.	10	1092	01:08:46b
	That's all right.	17	1093	01:08:48a
	I'm so sorry.	13	1094	01:08:48b
	That's okay.	12	1095	01:08:50a
	I'm sorry about...	18	1096	01:08:52a
	Welcome to Denmark.	19	1097	01:09:03a
	This is some kind of hotel you've got here.	43	1098	01:09:08a
	Half a bottle is better than none.	34	1099	01:09:20a
	Morning, partner.	17	1100	01:09:22a
	Probably come by to see you later.	34	1101	01:09:58a
	That's far enough, jughead.	27	1102	01:10:01a
	Name's not jughead.	19	1103	01:10:04a
	What you doing around here, boy?	32	1104	01:10:06a
	I'm thirsty.	12	1105	01:10:06b
	That's a saloon, ain't it?	26	1106	01:10:09a
	Yeah, that's a saloon.	22	1107	01:10:12a
	Only you can't come in.	23	1108	01:10:12b
	Mr. Gilbert.	12	1109	01:10:17a
	Don't let me stop you from earning your money.	46	1110	01:10:22a
	I know how bored and restless you get when you run out of tamales.	66	1111	01:10:28a
	But, Mr. Gilbert,	17	1112	01:10:36a
	if I was you, I'd find out that jughead's name.	47	1113	01:10:36b
	Allow me to introduce the two of you.	37	1114	01:10:40a
	This here is Bob Gilbert.	25	1115	01:10:43a
	The Businessman?	16	1116	01:10:45a
	That's right.	13	1117	01:10:47a
	Business Bob Gilbert.	21	1118	01:10:47b
	And who might he be, Caleb?	27	1119	01:10:51a
	Well, that's a fella by the name of Madrid.	43	1120	01:10:55a
	Johnny Madrid.	14	1121	01:10:58a
	Who's Johnny Madrid?	20	1122	01:11:06a
	He ain't from round here.	25	1123	01:11:08a
	No, really.	11	1124	01:11:10a
	Who is he, Caleb?	17	1125	01:11:16a
	You're about to find out...	27	1126	01:11:19a
	Businessman.	12	1127	01:11:38a
	Ready when you are, Gilbert.	28	1128	01:12:23a
	Johnny Madrid.	14	1129	01:12:30a
	How long has it been?	21	1130	01:12:32a
	Since that time in Juárez, about three years ago.	49	1131	01:12:36a
	Well, come on in and have a drink.	34	1132	01:12:39a
	Hell, in that case...	21	1133	01:12:44a
	buy you a drink, Caleb?	23	1134	01:12:46a
	Sure, Johnny.	13	1135	01:12:49a
	How about some mezcal?	22	1136	01:12:51a
	Like that time in Juárez.	25	1137	01:12:55a
	A lot of people died that day.	30	1138	01:12:57a
	Yes, they did.	14	1139	01:13:00a
	But we had a good time.	23	1140	01:13:03a
	Didn't we?	10	1141	01:13:04a
	Yeah, we did.	13	1142	01:13:07a
	After you, DeCoteau.	20	1143	01:13:10a
	Pepe.	05	1144	01:13:10b
	Get your behind behind that bar.	32	1145	01:13:13a
	I have a guest.	15	1146	01:13:31a
	How's the beans?	16	1147	01:13:34a
	I've had worse.	15	1148	01:13:38a
	One dollar.	11	1149	01:13:43a
	To my wife and all my sweethearts.	34	1150	01:13:47a
	May they never meet.	20	1151	01:13:56a
	Señor Madrid, you care to join me at my table where I entertain my guests?	74	1152	01:14:01a
	I'd be delighted, Monsieur DeCoteau.	36	1153	01:14:05a
	Take the bottle with you.	25	1154	01:14:09a
	So, Johnny, ahem...	19	1155	01:14:13a
	what brings you to Arroyo del Oro?	34	1156	01:14:14a
	You know me, Caleb.	19	1157	01:14:17a
	Money.	06	1158	01:14:20a
	And who's paying around here?	29	1159	01:14:22a
	I hope you.	11	1160	01:14:24a
	Huh.	04	1161	01:14:26a
	And what have you heard about me?	33	1162	01:14:28a
	I heard about the Lancer Ranch.	31	1163	01:14:30a
	All the cattle you've appropriated.	35	1164	01:14:33a
	A lot of land,	14	1165	01:14:43a
	a lot of cows,	14	1166	01:14:43b
	a lot of money,	15	1167	01:14:43c
	no law to speak of,	19	1168	01:14:43d
	and nothing but an old man and some Mexican ranch hands to shoo you off.	72	1169	01:14:43e
	Say, where's that chili pepper daughter of yours with the fiddle?	65	1170	01:14:48a
	She's asleep.	13	1171	01:14:50a
	Wake her the heck up,	21	1172	01:14:58a
	get her down here with her fiddle and her bow,	46	1173	01:14:58b
	and entertain my guest.	23	1174	01:14:58c
	But, please, don't hurt her this time.	38	1175	01:15:02a
	I ain't gonna hurt her.	23	1176	01:15:03a
	I just want her to play the fiddle.	35	1177	01:15:11a
	Line?	05	1178	01:15:11b
	Go fetch her and tell her what?	31	1179	01:15:14a
	Go fetch her and tell her I'll give her a fat $5 gold piece...	62	1180	01:15:17a
	Right.	06	1181	01:15:17b
	Go fetch her and tell her I'll give her a fat-fat $5 gold piece,	64	1182	01:15:23a
	she play her little chili pepper heart out, right?	50	1183	01:15:23b
	Right.	06	1184	01:15:23c
	Got it.	07	1185	01:15:31a
	I ain't gonna hurt her.	23	1186	01:15:33a
	I just want her to play the fiddle.	35	1187	01:15:35a
	Now, go fetch her and tell her I'll give her a fat $5 gold piece,	65	1188	01:15:41a
	she play her little chili pepper heart out.	43	1189	01:15:41b
	Go on.	06	1190	01:15:48a
	So, Johnny, what else you heard?	32	1191	01:15:52a
	Hmm.	04	1192	01:15:54a
	I heard you're pushing Lancer pretty hard,	42	1193	01:16:00a
	but Lancer's got money.	23	1194	01:16:00b
	At some point,	14	1195	01:16:14a
